epoch,acc,loss,val_acc,val_loss
0,0.53355,0.6878099972724915,0.5534,0.6828796857833862
1,0.55995,0.6802261938095093,0.5972,0.67269627866745
2,0.6357,0.641642746257782,0.667,0.6090048132896423
3,0.6747,0.6054168858528137,0.6766,0.6121185958862305
4,0.7003,0.5762116040229798,0.675,0.5859333170413971
5,0.7377,0.5331359024524689,0.746,0.5287117422103882
6,0.76,0.4980058551311493,0.7822,0.48280515298843385
7,0.7847,0.46426421599388124,0.7928,0.45517050287723543
8,0.80555,0.42759176874160765,0.8104,0.4108852915048599
9,0.81935,0.4041944053173065,0.8134,0.41377936277389527
10,0.8348,0.37923929829597475,0.8024,0.42153232805728913
11,0.8522,0.3360825005054474,0.8506,0.3474611746788025
12,0.86255,0.32017053861618044,0.8292,0.4022818688869476
13,0.8778,0.2915247118473053,0.8084,0.39813652877807615
14,0.8874,0.2698049361228943,0.8746,0.3076668362617493
15,0.89285,0.25666992082595824,0.866,0.3200773799180984
16,0.9007,0.23718054983615874,0.8874,0.2842115666270256
17,0.9096,0.21832014286518098,0.8814,0.28824827678203585
18,0.91545,0.20558234355449675,0.89,0.2751592261016369
19,0.92245,0.18539994480609895,0.868,0.32684732847213743
20,0.93225,0.16943372886180877,0.8892,0.26996542621850966
21,0.9321,0.17122942428588867,0.8854,0.3107765627920628
22,0.94165,0.1499360285282135,0.8918,0.2912806228160858
23,0.9443,0.1392012652516365,0.8982,0.2739463125348091
24,0.9529,0.11927829414010048,0.8886,0.3092068944454193
25,0.9522,0.11995310792922974,0.8714,0.3308374750137329
26,0.9634,0.0944584020614624,0.8932,0.3120027175426483
27,0.96265,0.09466060247421265,0.8934,0.33094588598385455
28,0.96905,0.08194956779181957,0.8932,0.35474373829960826
29,0.96545,0.08739595551490784,0.8966,0.337548878544569
30,0.97715,0.06284230664223432,0.8832,0.4093761744350195
31,0.97245,0.0715285508915782,0.8912,0.360123334312439
32,0.9794,0.056488509365916255,0.9,0.3676547075003386
33,0.98025,0.054025112195312974,0.8342,0.6522944688558578
34,0.9775,0.06183766835406423,0.8946,0.38808026272952556
35,0.98395,0.04290903131701052,0.8938,0.37450905685424807
36,0.9812,0.05166497533544898,0.9018,0.4175429672077298
37,0.98265,0.04566274367198348,0.8956,0.4096506070941687
38,0.98415,0.04292510583102703,0.8966,0.42352038380503654
39,0.9873,0.0335572252843529,0.8986,0.4828313753478229
40,0.9857,0.04012115956917405,0.896,0.40634332736134526
41,0.98805,0.03511503237336874,0.9018,0.44701828575730324
42,0.987,0.03812597259357572,0.8918,0.442042823844403
43,0.9916,0.024904610460810363,0.8984,0.46382781527936456
